Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
Manchester Community College,Great Path,Manchester,CT,06040,41.761625,-72.561939,,Large Suburb
Central Connecticut State University,1615 Stanley St,New Britain,CT,06050,41.692502,-72.765991,,Large Suburb
Lincoln Technical Institute-New Britain,200 John Downey Dr,New Britain,CT,06051,41.659236,-72.754498,,Large Suburb
Charter Oak State College,55 Paul Manafort Drive,New Britain,CT,06053,41.688246,-72.767972,,Large Suburb
New England Tractor Trailer Training School of Connecticut,32 Field Rd,Somers,CT,06071,41.979699,-72.450218,,Large Suburb
Asnuntuck Community College,170 Elm St,Enfield,CT,06082,41.998409,-72.570177,,Large Suburb
Lincoln Technical Institute-East Windsor,97 Newberry Road,East Windsor,CT,06088,41.924248,-72.596915,,Rural Fringe
Northwestern Connecticut Community College,Park Pl E,Winsted,CT,06098,41.920668,-73.058734,,Fringe Town
Capital Community College,950 Main Street,Hartford,CT,06103,41.768397,-72.672734,,Midsize City
University of Connecticut-Hartford Campus,10 Prospect Street,Hartford,CT,06103,41.762673,-72.672175,,Midsize City
Stone Academy-East Hartford,745 Burnside Avenue,East Hartford,CT,06108,41.779013,-72.606686,,Small City
International Institute of Cosmetology,632 Silas Deane Hwy,Wethersfield,CT,06109,41.707932,-72.661782,,Large Suburb
Connecticut Aero Tech  School,500 Lindbergh Dr,Hartford,CT,06114,41.735051,-72.652583,,Midsize City
CT Aero Tech School,500 Lindbergh Drive,Hartford,CT,06114,41.735051,-72.652583,,Midsize City
University of Saint Joseph,1678 Asylum Avenue,West Hartford,CT,06117,41.781041,-72.72965,,Large Suburb
Goodwin University,One Riverside Drive,East Hartford,CT,06118,41.742977,-72.64032,,Small City
Rensselaer at Hartford,275 Windsor St,Hartford,CT,06120,41.773462,-72.673916,,Midsize City
Eastern Connecticut State University,83 Windham St,Willimantic,CT,06226,41.721673,-72.218753,,Fringe Town
University of Connecticut,352 Mansfield Road,Storrs,CT,06269,41.809098,-72.249948,,Large Suburb
Mitchell College,437 Pequot Avenue,New London,CT,06320,41.328013,-72.09523,,Small City
Three Rivers Community College,574 New London Turnpike,Norwich,CT,06360,41.509945,-72.103039,,Small City
Branford Academy of Hair and Cosmetology,251 West Main St,Branford,CT,06405,41.277187,-72.8537,,Large Suburb
Branford Hall Career Institute-Branford Campus,One Summit Place,Branford,CT,06405,41.278557,-72.848201,,Large Suburb
Cortiva Institute-Cromwell,"45 Shunpike Road, Suite 10",Cromwell,CT,06416,41.604041,-72.678562,,Large Suburb
TIGI Hairdressing Academy Guilford,860 Boston Post Road,Guilford,CT,06437,41.28773,-72.677612,,Large Suburb
Wesleyan University,45 Wyllys Avenue,Middletown,CT,06459,41.554665,-72.657146,,Small City
Paul Mitchell the School-North Haven,97 Washington Avenue,North Haven,CT,06473,41.394495,-72.85745,,Large Suburb
Oxford Academy of Hair Design Inc,153 North Street,Seymour,CT,06483,41.397798,-73.061063,,Large Suburb
Lincoln Technical Institute-Shelton,8 Progress Drive,Shelton,CT,06484,41.271974,-73.132014,,Large Suburb
Branford Hall Career Institute-Southington Campus,35 N Main St,Southington,CT,06489,41.602304,-72.877922,,Large Suburb
Academy Di Capelli-School of Cosmetology,950 Yale Ave Unit 20,Wallingford,CT,06492,41.490402,-72.806335,,Large Suburb
Gateway Community College,20 Church Street,New Haven,CT,06510,41.303785,-72.927682,,Midsize City
Porter and Chester Institute of Hamden,1245 Dixwell Avenue,Hamden,CT,06514,41.346568,-72.931908,,Large Suburb
Stone Academy-West Haven,560 Saw Mill Road,West Haven,CT,06516,41.267503,-72.976966,,Large Suburb
Quinnipiac University,Mt Carmel Ave,Hamden,CT,06518,41.418915,-72.894117,,Large Suburb
Yale University,Woodbridge Hall,New Haven,CT,06520,41.311158,-72.926688,,Midsize City
New England Tractor Trailer Training School of CT-Bridgeport,510 Barnum Ave,Bridgeport,CT,06608,41.186706,-73.179406,,Midsize City
Stratford School for Aviation Maintenance Technicians,200 Great Meadow Road,Stratford,CT,06615,41.161259,-73.130761,,Large Suburb
University of Connecticut-Waterbury Campus,99 East Main Street,Waterbury,CT,06702,41.555617,-73.039242,,Midsize Suburb
Ace Cosmetology and Barber Training Center,625 Wolcott Street  Suite 7,Waterbury,CT,06705,41.593956,-72.987416,,Midsize Suburb
Dolce LLC The Academy,91 Schraffts Drive  Suite 7,Waterbury,CT,06705,41.540983,-72.991263,,Midsize Suburb
Stone Academy-Waterbury,101 Pierpont Road,Waterbury,CT,06705,41.54509,-72.98033,,Midsize Suburb
Industrial Management Training Institute,233 Mill St,Waterbury,CT,06706,41.549618,-73.035893,,Midsize Suburb
Post University,800 Country Club Rd,Waterbury,CT,06723,41.535549,-73.081497,,Midsize Suburb
Norwalk Community College,188 Richards Avenue,Norwalk,CT,06854,41.102574,-73.450965,,Small City
Bloomfield College,467 Franklin St,Bloomfield,NJ,07003,40.795105,-74.194309,,Large Suburb
Empire Beauty School-Bloomfield,15 Ward Street,Bloomfield,NJ,07003,40.79497,-74.199706,,Large Suburb
American Institute-Clifton,346 LEXINGTON AVE,CLIFTON,NJ,07011,40.873516,-74.130158,,Large Suburb
Capri Institute of Hair Design-Clifton,1595 Main Ave,Clifton,NJ,07011,40.887432,-74.152668,,Large Suburb
National Career Institute,134 Evergreen Place,East Orange,NJ,07018,40.76137,-74.222091,,Large Suburb
Capri Institute of Hair Design-Kenilworth,660 N Michigan Ave,Kenilworth,NJ,07033,40.688912,-74.29462,,Large Suburb
Robert Fiance Beauty Schools-North Plainfield,121 Watchung Ave,North Plainfield,NJ,07060,40.622543,-74.427019,,Large Suburb
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,1200 Park Ave and Randolph Rd,Plainfield,NJ,07061,40.605982,-74.404293,,Large Suburb
Union County Vocational Technical School,1776 Raritan Rd,Scotch Plains,NJ,07076,40.616491,-74.358205,,Large Suburb
Innovate Salon Academy,4985 Stelton Rd,South Plainfield,NJ,07080,40.550944,-74.426739,,Large Suburb
Empire Beauty School-Union,1126 Morris Ave,Union,NJ,07083,40.684576,-74.238364,,Large Suburb
Healthcare Training Institute,1969 Morris Ave,Union,NJ,07083,40.696519,-74.268253,,Large Suburb
Kean University,1000 Morris Avenue,Union,NJ,07083,40.677981,-74.233503,,Large Suburb
Lincoln Technical Institute-Union,2299 Vauxhall Rd,Union,NJ,07083,40.706359,-74.274929,,Large Suburb
Total Image Beauty Academy,3900 Bergenline ave 2nd Floor,Union City,NJ,07087,40.77578,-74.026091,,Large Suburb
Essex County College,303 University Ave,Newark,NJ,07102,40.738444,-74.178234,,Large City
New Jersey Institute of Technology,University Heights,Newark,NJ,07102,40.741997,-74.177113,,Large City
Pillar College,"60 Park Place, Suite 701",Newark,NJ,07102,40.738539,-74.169153,,Large City
Relay Graduate School of Education - Newark,"50 Park Place, Suite M200",Newark,NJ,07102,40.739069,-74.168494,,Large City
Rutgers University-Newark,"249 University Avenue, Blumenthal Hall",Newark,NJ,07102,40.739122,-74.175809,,Large City
Eastern International College-Belleville,251 Washington Ave,Belleville,NJ,07109,40.789635,-74.152439,,Large Suburb
Eastwick College-Nutley,103 Park Ave,Nutley,NJ,07110,40.810742,-74.144192,,Large Suburb
Yeshivas Be'er Yitzchok,1391 North Ave,Elizabeth,NJ,07208,40.682465,-74.213255,,Large Suburb
New Jersey City University,2039 Kennedy Blvd,Jersey City,NJ,07305,40.709937,-74.08727,,Large City
Branford Hall Career Institute-Jersey City,"40 Journal Square, 1st Floor",Jersey City,NJ,07306,40.731229,-74.064695,,Large City
Eastern International College-Jersey City,684 Newark Ave,Jersey City,NJ,07306,40.735178,-74.060452,,Large City
Hudson County Community College,70 Sip Avenue,Jersey City,NJ,07306,40.7303,-74.062903,,Large City
P C Age-Jersey City,"2815 Kennedy Blvd, 3rd Floor",Jersey City,NJ,07306,40.732114,-74.06691,,Large City
Institute for Therapeutic Massage,"1069 Ringwood Avenue, Suite 315",HASKELL,NJ,07420,41.029337,-74.297239,,Large Suburb
Berkeley College-Woodland Park,44 Rifle Camp Rd,Woodland Park,NJ,07424,40.898587,-74.189483,,Large Suburb
Lincoln Technical Institute-Mahwah,70 McKee Dr,Mahwah,NJ,07430,41.083771,-74.148846,,Large Suburb
Fortis Institute-Wayne,201 Willowbrook Blvd.,Wayne,NJ,07470,40.885499,-74.255794,,Large Suburb
William Paterson University of New Jersey,300 Pompton Rd,Wayne,NJ,07470,40.945255,-74.200248,,Large Suburb
Hohokus School of Trade and Technical Sciences,634 Market Street,Paterson,NJ,07513,40.909377,-74.152581,,Large Suburb
Eastwick College-Hackensack,250 Moore Street,Hackensack,NJ,07601,40.885847,-74.040491,,Large Suburb
Jersey College,546 U.S. Highway 46,Teterboro,NJ,07608,40.862137,-74.057936,,Large Suburb
Holy Name Medical Center-Sister Claire Tynan School of Nursing,333 Hudson Terrace,Englewood Cliffs,NJ,07632,40.874956,-73.948887,,Large Suburb
Felician University,262 S Main St,Lodi,NJ,07644,40.867272,-74.096452,,Large Suburb
Capri Institute of Hair Design-Paramus,615 Winters Ave,Paramus,NJ,07652,40.962698,-74.071583,,Large Suburb
Empire Beauty School-Paramus,332 Rt 4 E,Paramus,NJ,07652,40.912644,-74.043699,,Large Suburb
Fairleigh Dickinson University-Metropolitan Campus,1000 River Rd,Teaneck,NJ,07666,40.897209,-74.028986,,Large Suburb
Talmudical Academy-New Jersey,868 Route 524,Adelphia,NJ,07710,40.217456,-74.250167,,Large Suburb
Medical Career Institute,901 West Park Avenue St 201,Ocean,NJ,07712,40.263786,-74.046322,,Large Suburb
Advantage Career Institute,2 Meridian Road,Eatontown,NJ,07724,40.279075,-74.049694,,Large Suburb
Joe Kubert School of Cartoon and Graphic Art,37 Myrtle Ave,Dover,NJ,07801,40.887315,-74.552663,,Large Suburb
Assumption College for Sisters,200 A Morris Avenue,Denville,NJ,07834,40.905857,-74.490693,,Large Suburb
Morris County Vocational School District,400 E Main St,Denville,NJ,07834,40.877531,-74.479263,,Large Suburb
Centenary University,400 Jefferson St,Hackettstown,NJ,07840,40.84764,-74.833644,,Large Suburb
Sussex County Community College,One College Hill Road,Newton,NJ,07860,41.067633,-74.758079,,Fringe Town
Drew University,36 Madison Ave,Madison,NJ,07940,40.761829,-74.424584,,Large Suburb
Fairleigh Dickinson University-Florham Campus,285 Madison Ave,Madison,NJ,07940,40.774498,-74.432121,,Large Suburb
Artistic Academy of Hair Design,"301 Gibraltar Drive, Suite 1-A",Morris Plains,NJ,07950,40.855589,-74.486405,,Large Suburb
Saint Elizabeth University,2 Convent Road,Morristown,NJ,07960,40.78182,-74.438221,,Large Suburb
Empire Beauty School-Cherry Hill,2100 State Highway #38 Plaza Cherry Hill,Cherry Hill,NJ,08002,39.941469,-75.017823,,Large Suburb
Harris School of Business-Cherry Hill Campus,"One Cherry Hill, One Mall Drive Ste.700",Cherry Hill,NJ,08002,39.942675,-75.024757,,Large Suburb
Prism Career Institute-Cherry Hill,"3 Executive Campus Rt 70, Suite 280",Cherry Hill,NJ,08002,39.931301,-75.051138,,Large Suburb
Strayer University-New Jersey,2370 State Route 70 West Suite 335,Cherry Hill,NJ,08002,40.554506,-74.474974,,Large Suburb
Jolie Health & Beauty Academy-Cherry Hill,1490 Berlin Rd Ste 21,Cherry Hill,NJ,08003,39.880166,-75.005249,,Large Suburb
Camden County College,200 College Drive,Blackwood,NJ,08012,39.784874,-75.038381,,Large Suburb
Pennco Tech-Blackwood,99 Erial Road,Blackwood,NJ,08012,39.807941,-75.061659,,Large Suburb
Rowan University,201 Mullica Hill Road,Glassboro,NJ,08028,39.709108,-75.119119,,Large Suburb
P B Cosmetology Education Center,110 Monmouth St,Gloucester,NJ,08030,39.898805,-75.126308,,Large Suburb
Harris School of Business-Voorhees Campus,401 White Horse Rd.,Voorhees,NJ,08043,39.84345,-74.990331,,Large Suburb
Strayer University-Willingboro Campus,300 Willingboro Pkwy Ste 125,Willingboro,NJ,08046,40.05267,-74.889467,,Large Suburb
Lincoln Technical Institute-Moorestown,308 Route 38 W,Moorestown,NJ,08057,39.94847,-74.955631,,Large Suburb
Rowan College of South Jersey Gloucester Campus,1400 Tanyard Road,Sewell,NJ,08080,39.781339,-75.121269,,Large Suburb
Divers Academy International,"LAKESIDE BUSINESS PARK, 1500 LIBERTY PLACE",ERIAL,NJ,08081,39.747926,-75.000877,,Large Suburb
Rutgers University-Camden,406 Penn,Camden,NJ,08102,39.948064,-75.12224,,Small City
Harris School of Business-Linwood Campus,"1201 New Road, Ste 226",Linwood,NJ,08221,39.348058,-74.580524,,Midsize Suburb
Prism Career Institute-West Atlantic City,8025 Black Horse Pike Bayport One Suite 250,West  Atlantic City,NJ,08232,39.377288,-74.493112,,Midsize Suburb
Atlantic Beauty & Spa Academy LLC,3003 English Creek Avenue,Egg Harbor Township,NJ,08234,39.433238,-74.613498,,Midsize Suburb
Empire Beauty School-Bordentown,610 Rt 206,Bordentown,NJ,08505,40.173971,-74.702495,,Large Suburb
Thomas Edison State University,111 W State St,Trenton,NJ,08608,40.220487,-74.768562,,Small City
Fortis Institute-Lawrenceville,"2572 Brunswick Pike, Suite 100",Lawrenceville,NJ,08648,40.260811,-74.719102,,Large Suburb
Bais Medrash Mayan Hatorah,101 Milton Street,Lakewood,NJ,08701,40.107414,-74.204332,,Small City
Bais Medrash Toras Chesed,901 Monmouth Ave,Lakewood,NJ,08701,40.099704,-74.21127,,Small City
Yeshiva Toras Chaim,999 Ridge Ave,Lakewood,NJ,08701,40.098692,-74.182143,,Large Suburb
Capri Institute of Hair Design-Brick,268 Brick Blvd,Brick,NJ,08723,40.03772,-74.143232,,Large Suburb
Ocean County Vocational-Technical School,137 Bey Lea  Rd,Toms River,NJ,08753,39.985095,-74.195622,,Large Suburb
American Institute-Toms River,2363 Lakewood Rd,Toms River,NJ,08755,40.044556,-74.220894,,Large Suburb
